RowID,Status,Phase,Recipient,Log_Level,Log_Message,Attachment,RPA_Team_Emails,Business_Team_Emails,Email_Subject,Email_Body_Prefix,Email_Body_Suffix,Email_CC,Email_BCC,Process Cycle Code,Environment Details,Date Time,Parameters,Email_Body
2,Inactive,Initialization,RPA Team,Info,Configuration File Reading Started,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Configuration File Reading Started,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
3,Inactive,Initialization,RPA Team,Info,Configuration File Reading Completed,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Configuration File Reading Completed,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
4,Inactive,Initialization,RPA Team,Info,InvoiceBotz Performer Process Started,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,InvoiceBotz Performer Process Started,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
5,Inactive,Initialization,RPA Team,Info,Kill All Process Started,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Kill All Process Started,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
6,Inactive,Initialization,RPA Team,Info,Kill All Process Completed,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Kill All Process Completed,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
7,Inactive,Initialization,RPA Team,Info,Initialize All Applications Started,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Initialize All Applications Started,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,", Invoice File ID (Active)",
8,Inactive,Initialization,RPA Team,Info,Initialize All Applications Completed,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Initialize All Applications Completed,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
9,Active,Initialization,Business Team,Fatal,System Exception at Initialization,Y,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,System Exception at Initialization,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
10,Inactive,Preparing Configuration Files,RPA Team,Info,Preparing Configuration Files Started,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Preparing Configuration Files Started,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
11,Active,Preparing Configuration Files,Business Team,Info,Process Input - List of Invoice Files,Y,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Process Input - List of Invoice Files,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
12,Inactive,Preparing Configuration Files,RPA Team,Info,Preparing Configuration Files Completed,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Preparing Configuration Files Completed,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
13,Active,Preparing Configuration Files,Business Team,Fatal,System Exception at Prepare Transaction Data,Y,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,System Exception at Prepare Transaction Data,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
14,Inactive,Get Transaction Data,RPA Team,Info,Retrieving Transaction Item : Extracted Invoice Data File From Orchestrator Queue Started,N,Manik.Walia@Wonderbotz.com,Nisarg.Kadam@Wonderbotz.com,Retrieving Transaction Item : Extracted Invoice Data File From Orchestrator Queue Started,"<p>Dear Team,<br /><br />Please find below Notification from <strong>InvoiceBotz Performer</strong>:<br /><br /><strong>Message</strong>: <strong>$Message<br /></strong><br /><strong>Process Cycle Code</strong>: $Process_Cycle_Code<br /><strong>MachineUser</strong>: $Machine_User<br /><strong>Date &amp; Time</strong>: $Date_Time</p>","<p><strong><br /><br /></strong><span style=""color: #999999;"">**This is an autogenerated email, please DO NOT REPLY.<br /><br /></span>Regards,<br />InvoiceBotz Team</p>",Kalyani.Raval@Wonderbotz.com,Manik.walia@Wonderbotz.com,Process Cycle Code,Environment Details,Date Time,,
